profile,target,technology,memory_mode,stream_mhz,memory_mhz,axil_mhz,dc_mhz,pnr_mhz,sta_mhz,purpose,expected_status,stop_condition,required_regression,required_reports,classification
dma_rx512_sameclk_register_sanity,Target A,Nangate45,register,100,100,not included,100,not planned,not planned,elaboration and constraint sanity,planned,any analyze link or check_design failure,writer directed and backpressure,check_design check_timing QOR top20,ASSUMPTION
dma_rx512_sameclk_register_sanity,Target A,Nangate45,register,200,200,not included,200,not planned,not planned,writer architectural reference,planned,negative DC setup or unconstrained endpoint,writer directed and 4KB tail cases,QOR constraints fanout top20,ASSUMPTION
dma_rx512_sameclk_sram,Target B,Nangate45,OpenRAM macro,100,100,not included,100,100,100,macro binding and first route sanity,planned,macro binding route or handoff failure,full RX512 storage and collision regression,DC macro count route DRC SPEF PT coverage,ASSUMPTION
dma_rx512_sameclk_sram,Target B,Nangate45,OpenRAM macro,200,200,not included,200,up to 200,matching PNR,architectural target,planned,negative DC slack or macro period failure,full RX512 random backpressure and reset,DC PNR RCX PT complete reports,ASSUMPTION
dma_rx512_sameclk_sram,Target B,Nangate45,OpenRAM macro,300,300,not included,300,TBD after DC,TBD after PNR,stretch characterization,planned,first setup or macro check failure,full RX512 regression,DC QOR and path classes before PNR,ASSUMPTION
dma_rx512_sameclk_sram,Target B,Nangate45,OpenRAM macro,400,400,not included,400,not planned initially,not planned initially,stress boundary only,planned,any setup or macro check failure,full RX512 regression,DC QOR top50 and violation count,ASSUMPTION
dma_rx512_async_sram,Target B async,Nangate45,SRAM plus dual-clock FIFO,200,200,not included,200,conservative clean point,matching PNR,canonical same-frequency asynchronous bring-up,planned,CDC macro or constraint audit failure,async512 clock phase FIFO reset and AXI stress,multi-clock DC CDC PNR RCX PT reports,ASSUMPTION
dma_rx512_async_sram,Target B async,Nangate45,SRAM plus dual-clock FIFO,100,200,not included,per domain,not first PNR,not first STA,source-slower CDC attribution,planned,protocol or CDC failure,async512 ratio regression,per-clock timing and CDC report,ASSUMPTION
dma_rx512_async_sram,Target B async,Nangate45,SRAM plus dual-clock FIFO,200,100,not included,per domain,not first PNR,not first STA,memory-slower CDC attribution,planned,FIFO overflow protocol or CDC failure,async512 ratio regression,per-clock timing and CDC report,ASSUMPTION
dma_rx512_async_sram,Target B async,Nangate45,SRAM plus dual-clock FIFO,200,300,not included,per domain,TBD,TBD,memory-clock stretch,planned,macro period or memory-domain setup failure,async512 random phase and backpressure,per-clock QOR and macro checks,ASSUMPTION
dma_full_rx512_async_sram,Target C,Nangate45,mixed SRAM and registers,200,200,200,200,TBD after Target B,TBD after route,final system target,planned,unresolved TX clock IO or macro closure,complete 14 plus RX CDC suites and macro tests,full hierarchy QOR CDC route RCX PT and IO coverage,ASSUMPTION
dma_zynq_async64_compat,compatibility,Nangate45 or FPGA,generic or inferred,200,200,200,200,not ASIC canonical,not ASIC canonical,compatibility comparison only,planned,do not promote to native ASIC result,existing Async64 regression,comparison reports only,ANALYSIS

