hierarchy_path,rtl_module,logical_name,data_width,depth,total_bits,read_ports,write_ports,rw_semantics,byte_write_enable,read_latency,collision_behavior,reset_behavior,clock_domain,number_of_instances,replication_or_banking,current_fpga_inference,current_asic_mapping_expectation,candidate_macro_organization,macro_count_estimate,wrapper_required,functional_equivalence_risk,openram_feasibility,blocker,classification,evidence
u_ingress_queue/u_payload_ram,dma_payload_beat_ram,fixed ingress payload,512,2048,1048576,1,1,synchronous 1R1W,no,1,read-before-write in RTL,data not reset,aclk,1,16 channel address regions,block RAM,MUST_MACRO,4 width by 4 depth using 512x128,16,yes,medium,likely,generated dimensions and collision audit required,VERIFIED_REPOSITORY_FACT,rtl/common/dma_payload_beat_ram.v and dma_rx_fc_ingress_bank defaults
u_ingress_queue,dma_rx_fc_ingress_bank,fixed ingress metadata,352,64,22528,1,1,registered request and synchronous data,no,1,old data on same-edge collision,data not reset and pointers reset,aclk,1,16 channels by 4 entries,distributed or registers,MAY_MACRO,3 width banks of 64x128,3,yes,medium,likely,read latency and unused bits,VERIFIED_REPOSITORY_FACT,META_W expression and TOTAL_META
u_ingress_queue,dma_rx_fc_ingress_bank,wide response FIFO,577,4,2308,1,1,single-clock FIFO,no,0,protocol avoids collision,pointers reset and data not reset,aclk,1,none,registers,KEEP_REGISTERS,none,0,no,low,poor,too shallow,VERIFIED_REPOSITORY_FACT,WIDE_FIFO_DEPTH=4
u_frame_shared_adapter,dma_rx_frame_shared_adapter,shared frame context,299,64,19136,1,1,synchronous 1R1W,no,1,old data on collision,data not reset and pointers reset,aclk,1,16 channels by 4 entries,register or distributed,MAY_MACRO,3 width banks of 64x128,3,yes,medium,likely,latency and utilization comparison,VERIFIED_REPOSITORY_FACT,CTX_W=299 TOTAL_CTX=64
u_frame_shared_adapter,dma_rx_frame_shared_adapter,pool input FIFO,583,2,1166,1,1,single-clock FIFO,no,0,protocol avoids collision,pointers reset,aclk,1,none,registers,KEEP_REGISTERS,none,0,no,low,poor,too shallow,VERIFIED_REPOSITORY_FACT,POOL_IN_DEPTH=2
u_frame_shared_adapter,dma_rx_frame_shared_adapter,read request queue,10,8,80,1,1,single-clock FIFO,no,0,protocol avoids collision,pointers reset,aclk,1,optional generate,registers,KEEP_REGISTERS,none,0,no,low,poor,small control queue,VERIFIED_REPOSITORY_FACT,RDQ_DEPTH=8 and PAYLOAD_AW=10
u_frame_shared_adapter/u_pool/u_payload_ram,dma_frame_payload_ram,shared pool payload,512,64,32768,1,1,synchronous 1R1W,no,1,read-before-write in RTL,data not reset,aclk,1,shared across channels,block RAM,MUST_MACRO,4 width banks of 64x128,4,yes,medium,likely,macro overhead and pin access,VERIFIED_REPOSITORY_FACT,BLOCK_NUM=64 DATA_W=512
u_frame_shared_adapter/u_pool/u_payload_ram,dma_frame_payload_ram,shared pool keep,64,64,4096,1,1,synchronous 1R1W,no,1,read-before-write in RTL,data not reset,aclk,1,parallel with payload,distributed RAM,KEEP_REGISTERS,optional 64x64,0,yes,low,possible,macro overhead,ANALYSIS,separate keep_mem array
u_frame_shared_adapter/u_pool,dma_frame_shared_pool,free list and next pointers,6,128,768,2 logical,2 logical,control arrays,no,0,ordering dependent,fully initialized on hard and soft reset,aclk,2 arrays,free_fifo plus next_ptr,registers,KEEP_REGISTERS,none,0,no,high,poor,bulk reset and multiple access roles,VERIFIED_REPOSITORY_FACT,reset loops and release allocation updates
u_frame_shared_adapter/u_pool,dma_frame_shared_pool,pool ownership and metadata,68,64,4352,1,1,control metadata,no,0,multiple state dependencies,hard-reset clear for metadata and soft-reset pointer clear,aclk,several arrays,per-channel and per-frame,registers,KEEP_REGISTERS,none,0,no,high,poor,reset and multi-source updates,VERIFIED_REPOSITORY_FACT,meta and open arrays
u_rx_payload_cdc_bridge/u_cmd_fifo,dma_async_fifo,CDC command FIFO,108,4,432,1,1,dual-clock 1W1R,no,0 or 1 by implementation,pointer ownership prevents legal collision,pointers reset and data not reset,aclk to mem_clk,1,none,generic registers,KEEP_REGISTERS,none,0,yes,medium,possible,too small for macro,VERIFIED_REPOSITORY_FACT,CMD_WIDTH=108 CMD_FIFO_LOG2=2
u_rx_payload_cdc_bridge/u_payload_fifo,dma_async_fifo,CDC payload FIFO,577,32,18464,1,1,dual-clock 1W1R,no,0 or 1 by implementation,asynchronous same-address must be impossible,pointers reset and data not reset,aclk to mem_clk,1,none,XPM block RAM on FPGA,MAY_MACRO,5 width banks of 32x128 dual-clock,5,yes,high,uncertain,independent-clock Liberty and collision contract absent,VERIFIED_REPOSITORY_FACT,PAYLOAD_WIDTH=577 PAYLOAD_FIFO_LOG2=5
u_rx_payload_cdc_bridge/u_cpl_fifo,dma_async_fifo,CDC completion FIFO,13,4,52,1,1,dual-clock 1W1R,no,0 or 1 by implementation,pointer ownership prevents legal collision,pointers reset and data not reset,mem_clk to aclk,1,none,generic registers,KEEP_REGISTERS,none,0,yes,medium,possible,too small for macro,VERIFIED_REPOSITORY_FACT,CPL_WIDTH=13 CPL_FIFO_LOG2=2
u_tx_engine/u_prefetch,dma_axi_read_prefetch,TX prefetch FIFO,513,16,8208,1,1,single-clock queue,no,0,protocol avoids collision,pointers and data reset in loops,aclk,1,none,distributed RAM or registers,KEEP_REGISTERS,none,0,no,medium,poor,array reset and shallow depth,VERIFIED_REPOSITORY_FACT,FIFO_DEPTH_LOG2=4 OUT_WIDTH=512
u_rx_channel_table,dma_rx_channel_table,RX channel tables,32,272,8704,multiple logical,multiple event and CSR,hardware maintained tables,no,0,priority defined by one process,hard and soft reset,aclk,17 arrays,16 channels,registers,KEEP_REGISTERS,none,0,no,high,poor,reset and multiple update sources,VERIFIED_REPOSITORY_FACT,17 arrays by 16 by 32
u_tx_channel_table,dma_tx_channel_table,TX channel tables,32,160,5120,multiple logical,multiple event and CSR,hardware maintained tables,no,0,priority defined by one process,hard and soft reset,aclk,10 arrays,16 channels,registers,KEEP_REGISTERS,none,0,no,high,poor,reset and multiple update sources,VERIFIED_REPOSITORY_FACT,10 arrays by 16 by 32
u_tx_desc_table,dma_tx_desc_channel_table,descriptor channel tables,32,128,4096,multiple logical,multiple event and CSR,hardware maintained tables,no,0,priority defined by one process,hard and soft reset,aclk,8 arrays,16 channels,registers,KEEP_REGISTERS,none,0,no,high,poor,reset and multiple update sources,VERIFIED_REPOSITORY_FACT,8 arrays by 16 by 32
frame_dma_rx_top,frame_dma_rx_top,RX shadow tables,32,48,1536,multiple logical,multiple control paths,shadow state,no,0,priority defined by top state machine,hard and soft reset,aclk,3 arrays,16 channels,registers,KEEP_REGISTERS,none,0,no,high,poor,control fanout and reset,VERIFIED_REPOSITORY_FACT,shadow_wr_ptr shadow_rd_ptr shadow_used
u_payload_writer_async512,dma_axi_write_engine_512,accepted burst plan queue,8,4,32,1,1,single-clock FIFO,no,0,protocol avoids collision,pointers reset,mem_clk,1,none,registers,KEEP_REGISTERS,none,0,no,low,poor,tiny queue,VERIFIED_REPOSITORY_FACT,MAX_OUTSTANDING=4
u_cq_writer and peers,dma_cq_writer,CQE staging words,64,8,512,1,1,local word array,no,0,fixed producer consumer sequencing,array data reset,aclk,one to three before optimization,per writer,registers,KEEP_REGISTERS,none,0,no,medium,poor,reset and tiny depth,VERIFIED_REPOSITORY_FACT,cqe_word[0:7]
